TEAM,DATE,OPPONENT,HOME(D)/AWAY(W),RESULT,WIN(W)/LOST(P),PTS,2PM,2PA,2P%,3PM,3PA,3P%,SM,SA,S%,FTM,FTA,FT%,OREB,DREB,TREB,AST,PF,FF,TOV,STL,BLK,RBLK,EVAL,YEAR
Górnik Trans.eu Zamek Książ Wałbrzych,2023-03-25 20:00:00,PGE Turów Zgorzelec,D,70:84,P,70,25,38,65.8,4,27,14.8,29,65,44.6,8,14,57.1,12,24,36,22,19,16,17,9,4,0,82,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-04-01 20:00:00,GKS Tychy,D,77:60,W,77,18,28,64.3,8,28,28.6,26,56,46.4,17,29,58.6,5,28,33,23,24,30,12,11,2,0,92,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-04-05 18:00:00,SKS Starogard Gdański,W,75:86,W,86,20,38,52.6,12,26,46.2,32,64,50.0,10,16,62.5,8,27,35,23,24,16,9,6,6,3,109,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-04-15 18:00:00,KKS Polonia Warszawa,D,86:48,W,86,26,44,59.1,8,25,32.0,34,69,49.3,10,12,83.3,8,29,37,20,19,21,9,14,2,2,113,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-04-16 18:00:00,KKS Polonia Warszawa,D,92:83,W,92,25,47,53.2,4,15,26.7,29,62,46.8,30,48,62.5,18,25,43,20,21,36,11,6,3,1,102,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-04-20 20:00:00,KKS Polonia Warszawa,W,79:89,W,89,23,43,53.5,8,22,36.4,31,65,47.7,19,27,70.4,13,21,34,23,24,21,12,6,2,4,100,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-04-29 19:00:00,SKS Starogard Gdański,D,88:69,W,88,29,51,56.9,5,25,20.0,34,76,44.7,15,26,57.7,17,32,49,20,20,21,8,9,6,2,111,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-04-30 19:00:00,SKS Starogard Gdański,D,92:77,W,92,17,34,50.0,15,30,50.0,32,64,50.0,13,23,56.5,8,29,37,28,23,21,11,6,2,0,112,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-05-06 17:00:00,SKS Starogard Gdański,W,85:92,W,92,24,43,55.8,7,27,25.9,31,70,44.3,23,30,76.7,11,30,41,23,24,20,10,5,5,2,110,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-05-13 19:00:00,Dziki Warszawa,D,66:73,P,66,21,39,53.8,4,22,18.2,25,61,41.0,12,20,60.0,7,28,35,15,24,17,22,12,4,3,66,2022/2023
