GKS Tychy,33,77.9,22.2,41.6,53.3,7.2,21.2,34.0,29.4,62.8,46.7,11.9,17.9,66.7,9.42,23.21,32.64,15.1,21.12,19.06,14.8,9.97,2.70,2.58,84.0,,Sezon 2009/2010,GKS Tychy
Przeciwnicy,33,74.0,17.8,36.7,48.3,7.7,22.5,34.3,25.5,59.2,43.0,15.4,21.4,71.9,8.76,22.73,31.48,13.0,19.27,20.79,15.4,9.45,2.61,2.67,75.4,,Sezon 2009/2010,GKS Tychy
KS Sudety Jelenia Góra,32,66.6,17.6,38.9,45.2,6.5,19.9,32.6,24.1,58.9,40.9,11.9,17.3,69.0,8.78,21.44,30.22,11.0,20.16,19.78,13.3,7.88,1.84,2.72,64.1,,Sezon 2009/2010,KS Sudety Jelenia Góra
Przeciwnicy,32,76.1,20.1,38.7,52.0,7.3,20.2,36.0,27.4,58.9,46.5,14.1,20.0,70.7,10.03,25.09,35.13,15.2,19.88,19.94,12.8,8.56,2.72,1.81,87.6,,Sezon 2009/2010,KS Sudety Jelenia Góra
Żubry Białystok,33,74.1,16.9,36.6,46.1,8.4,25.2,33.5,25.3,61.8,41.0,15.0,22.4,67.1,9.48,22.73,32.21,14.2,20.67,20.85,16.7,8.58,3.91,2.85,72.3,,Sezon 2009/2010,Żubry Białystok
Przeciwnicy,33,80.2,21.8,43.3,50.4,7.0,20.8,33.7,28.8,64.0,45.0,15.6,21.6,72.1,10.33,24.85,35.18,13.9,21.09,20.48,15.9,10.91,2.85,3.76,85.9,,Sezon 2009/2010,Żubry Białystok
AZS Politechnika Warszawska,33,77.2,17.9,36.0,49.8,9.2,26.4,34.8,27.1,62.4,43.5,13.8,20.6,67.1,9.82,23.76,33.58,14.7,22.88,20.24,18.4,9.73,1.79,2.70,76.6,,Sezon 2009/2010,AZS Politechnika Warszawska
Przeciwnicy,33,81.2,23.1,42.9,54.0,6.3,21.0,30.2,29.5,63.8,46.2,16.0,24.3,65.8,9.39,23.82,33.21,14.4,20.67,22.76,15.3,11.79,2.76,1.79,85.4,,Sezon 2009/2010,AZS Politechnika Warszawska
Asseco Prokom 2 Gdynia,30,82.2,24.1,46.0,52.5,5.1,17.3,29.6,29.3,63.3,46.2,18.5,25.2,73.4,9.90,26.57,36.47,13.5,19.70,21.87,15.2,8.63,3.47,2.47,88.3,,Sezon 2009/2010,Asseco Prokom 2 Gdynia
Przeciwnicy,30,81.0,22.0,43.1,50.9,8.2,24.0,34.2,30.2,67.1,44.9,12.4,17.8,70.0,8.97,22.30,31.27,15.2,22.07,19.53,14.1,9.33,2.47,3.47,82.8,,Sezon 2009/2010,Asseco Prokom 2 Gdynia
